1	jæːj
1. 飯食 2.食飯	tɕjɑʊvɛ
1.飯食 2.食飯	weʒɪˈɛ zivɛː
12345678910	lɛtʰi˥˩ i˧˥kɤ˥˩  tɕʰi˨˩˦ ttstɤ˧˥ʰtɕʰi˨˩˦
2	lɪə
20	nˈe alsˈa
3	sɛd
4	tsʰɯ˨˩˦
6	lo
8	pa
83	peɾ seɾ
[休要]	sʲo
actor	ɕi˥˥tsɯ˧
cement	smukˈi
dinner	jabɪ
huawei	wˈeɪt
like	hun˥˥si˧˧
limota	biːmæːtˤa
méiyǒu	um mal
pm2.5	tiam˨˩ljɑŋ˨˩˦ ti˥˩
shanghai	sǎŋ˥˧pʰi˥˧
shanxi	sy˥˥ si˥˩
sze-tsung	sɛitsa
thomas	tʰɑʊ˧˥mɔ˥˥
thomas是外国人。	tʰɤ˧˥mɔ˥˩ʂɚ˥˩ ʈʂu˧˥a˨ kuɔ˧˥lɪŋ˧˥
t恤衫	tɕi˥˥ʰɔːsɛ
ukulele	jˈuk kˈlɪɹi
veduz	fˈaɪv
voon	poːn
wengang	uːjˈ
xiaomi	sie mdʒi
yoghurt	dʒaɫmuː
zejiang	tsjkãŋ
zhang xiaojun	taːn˧sɛn˧tɕmeɾ
zhaohui	ʈʂɑʊ˥˩xweɪ˧˥
zhuoma	tsuaɓma
“念天地之悠悠，独怆然而泪下”是陈子昂写个一首诗。	ni˨˩˦tɕi˥˥nɕy˥˩ ttsɯ˧ y˧˥ tsuɔ˥˩ tsweɪ˥˩ leɪ˧˥uɔ˨˩˦tsɯ˧ʈʂɚ˨˩˦ nɔ˨˩˦ ʰsɯ˥˩ʰ
“念天地之悠悠，读怆然而泪下”是陈子昂写个。	ni˨˩˦tʰi˥˥ʐɚ˥˩  jjoʊ�jɔ˨˩˦ tɔ˥˥tsʰaŋ˥˥ʐɚ˥˩ aɪ˥
〈方〉蹩脚	tɕ˥a˥˧
〈方〉铫子	jɑʊ˨˩˦ sɯ˧˥
【勿会】	fue
【勿会】好	la ha
【勿會】	fˈaɪv
【否愛】	sa˨˩i˦
から	kula
㑚	na
㖔	tɤ˧˥
㨂菜	kʰeː˧˥tsʰeː˨˩
㪗	tʰɤ˥˩
㪗被头	bˈi lˈœ
㫰	lˈoː
㫰竿	lɔki
㫰竿河里翻落咧	lɔːˈki ɑːˈliːse lɑlɑr
㯱	pʰaː
㽹	fɔː
䱟䱟兒	kkjɾun
䵑	ljoʝ
䶕	ow˧
一	jˈɛ
一下	i˥˩u˥˩
一下兒	iom
一世	hˈɛ
一个	jˈakːa
一个人	ʒˈɛʁa nˈim
一个人到了顶端，总是会觉得太过寂寞的。	i˥˩  njɪŋ˨˩˦tɑʊ˥˩ʈʂɚ˥˩ʈʂɚ˥˩ tɤ˧˥ tsɯ˨˩˦kwa˥˥aɪ˥˥tsɯ˥˩kɤ˥˩tɕja˨˩˦  kɤ˥˩ ɕɪn˥˥tɕjɑʊ˥
一个字	jɯgɯzɯ
一个词	nekəzɪ
一串	jɛ˨˩˦tsɯ˧
一举一动	etˈe dˈiʁˈs dˈi
一二三	i˥˧ni˧˧se˥˩
一二三四五六七	i˥˥aɻ˧˥i˧˥kɤ˥˥
一二三四五六七八九十	je˩˥ːniz˥ːɛsʔən˧˧mn˧˧a˥˧tʃʰak˨˩˦ka˥˧tɕi˥˩w˧˥sɔ˥˧
一二三木头人	hiliˈan seːn mɔdɔvni
